  t  q1  q2  q3  u1  u2  u3
    0.0000   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   5.000000E-01
    0.0500   4.483385E-04   4.507454E-05   2.501873E-02   2.018900E-02   1.235369E-03   5.007498E-01
    0.1000   2.213022E-03   6.603424E-05   5.007496E-02   5.006450E-02  -5.473294E-04   5.014983E-01
    0.1500   5.138451E-03   3.113216E-05   7.516846E-02   6.247587E-02  -2.033146E-04   5.022407E-01
    0.2000   8.179992E-03   7.070279E-05   1.002990E-01   5.898360E-02   1.449081E-03   5.029796E-01
    0.2500   1.113423E-02   1.167130E-04   1.254665E-01   5.938222E-02  -2.015724E-05   5.037252E-01
    0.3000   1.388719E-02   8.481888E-05   1.506717E-01   4.658587E-02  -6.554738E-04   5.044827E-01
    0.3500   1.547422E-02   9.543996E-05   1.759148E-01   1.623397E-02   1.033700E-03   5.052430E-01
    0.4000   1.568081E-02   1.391932E-04   2.011960E-01  -5.613521E-03   1.588858E-04   5.060012E-01
    0.4500   1.496758E-02   1.026613E-04   2.265149E-01  -2.445460E-02  -1.176679E-03   5.067579E-01
    0.5000   1.306983E-02   7.542222E-05   2.518717E-01  -5.138651E-02   3.149870E-04   5.075112E-01
    0.5500   1.009834E-02   1.051187E-04   2.772660E-01  -6.325380E-02   2.938460E-04   5.082609E-01
    0.6000   7.047542E-03   7.521040E-05   3.026977E-01  -5.802537E-02  -1.277614E-03   5.090033E-01
    0.6500   4.233821E-03   2.852138E-05   3.281663E-01  -5.481303E-02  -1.621116E-04   5.097442E-01
    0.7000   1.743872E-03   5.328294E-05   3.536722E-01  -4.124170E-02   6.646031E-04   5.104910E-01
    0.7500   4.134223E-04   5.153363E-05   3.792155E-01  -1.099433E-02  -7.852656E-04   5.112450E-01
    0.8000   5.103150E-04   1.258109E-05   4.047967E-01   1.251924E-02  -2.543917E-04   5.120009E-01
    0.8500   1.561178E-03   4.173570E-05   4.304154E-01   3.033317E-02   1.097050E-03   5.127440E-01
    0.9000   3.669238E-03   7.403086E-05   4.560710E-01   5.405806E-02  -8.602870E-05   5.134821E-01
    0.9500   6.740197E-03   5.132024E-05   4.817637E-01   6.489946E-02  -3.247494E-04   5.142284E-01
    1.0000   9.842541E-03   7.350466E-05   5.074939E-01   5.791949E-02   1.109023E-03   5.149764E-01
    1.0500   1.255770E-02   1.197511E-04   5.332613E-01   5.107151E-02   3.113942E-04   5.157189E-01
    1.1000   1.481934E-02   1.020481E-04   5.590655E-01   3.640167E-02  -6.317118E-04   5.164470E-01
    1.1500   1.592022E-02   9.751281E-05   5.849059E-01   6.532678E-03   5.698968E-04   5.171674E-01
    1.2000   1.557996E-02   1.311245E-04   6.107825E-01  -1.786710E-02   3.099569E-04   5.178996E-01
    1.2500   1.427114E-02   1.088960E-04   6.366960E-01  -3.469711E-02  -9.803443E-04   5.186401E-01
    1.3000   1.202645E-02   7.468964E-05   6.626465E-01  -5.516301E-02  -8.565562E-05   5.193785E-01
    1.3500   8.949148E-03   9.083454E-05   6.886337E-01  -6.439291E-02   3.203320E-04   5.201116E-01
    1.4000   5.902159E-03   7.520513E-05   7.146576E-01  -5.588984E-02  -9.226660E-04   5.208407E-01
    1.4500   3.366807E-03   3.238029E-05   7.407177E-01  -4.588416E-02  -3.887855E-04   5.215638E-01
    1.5000   1.402280E-03   4.465894E-05   7.668137E-01  -3.035782E-02   5.902766E-04   5.222722E-01
    1.5500   5.745036E-04   5.428929E-05   7.929447E-01  -1.544103E-03  -3.751856E-04   5.229699E-01
    1.6000   1.168987E-03   2.639166E-05   8.191108E-01   2.321787E-02  -3.340175E-04   5.236732E-01
    1.6500   2.736649E-03   4.318838E-05   8.453122E-01   3.919122E-02   8.773020E-04   5.243842E-01
    1.7000   5.133264E-03   7.898195E-05   8.715492E-01   5.670514E-02   2.427536E-04   5.250957E-01
    1.7500   8.240798E-03   6.957883E-05   8.978216E-01   6.440243E-02  -2.898009E-04   5.257997E-01
    1.8000   1.126320E-02   8.038953E-05   9.241290E-01   5.461296E-02   7.665821E-04   5.264937E-01
    1.8500   1.366725E-02   1.202083E-04   9.504711E-01   4.189731E-02   4.545706E-04   5.271946E-01
    1.9000   1.539596E-02   1.132848E-04   9.768487E-01   2.539960E-02  -5.234462E-04   5.279108E-01
    1.9500   1.599794E-02   1.006569E-04   1.003262E+00  -2.487889E-03   2.162407E-04   5.286363E-01
    2.0000   1.520920E-02   1.228942E-04   1.029712E+00  -2.709019E-02   3.291293E-04   5.293664E-01
    2.0500   1.346388E-02   1.106614E-04   1.056199E+00  -4.201779E-02  -7.587126E-04   5.300889E-01
    2.1000   1.099751E-02   7.579380E-05   1.082721E+00  -5.659681E-02  -3.346104E-04   5.307974E-01
    2.1500   7.947872E-03   8.016212E-05   1.109279E+00  -6.254279E-02   2.533397E-04   5.314999E-01
    2.2000   5.040152E-03   7.313429E-05   1.135871E+00  -5.172096E-02  -6.217245E-04   5.322143E-01
    2.2500   2.836381E-03   3.737606E-05   1.162500E+00  -3.665157E-02  -4.771331E-04   5.329408E-01
    2.3000   1.411321E-03   4.051959E-05   1.189165E+00  -1.894296E-02   4.655345E-04   5.336707E-01
    2.3500   1.117184E-03   5.570639E-05   1.215867E+00   8.267574E-03  -6.993764E-05   5.344008E-01
    2.4000   2.187924E-03   3.963819E-05   1.242605E+00   3.269855E-02  -2.870968E-04   5.351268E-01
    2.4500   4.198179E-03   4.953079E-05   1.269380E+00   4.661366E-02   6.760469E-04   5.358469E-01
    2.5000   6.819167E-03   8.420183E-05   1.296190E+00   5.798233E-02   4.269116E-04   5.365525E-01
    2.5500   9.867408E-03   8.511398E-05   1.323035E+00   6.145647E-02  -2.031757E-04   5.372540E-01
    2.6000   1.268991E-02   8.906883E-05   1.349916E+00   4.939064E-02   4.821124E-04   5.379742E-01
    2.6500   1.472889E-02   1.204966E-04   1.376833E+00   3.228054E-02   4.916386E-04   5.387012E-01
    2.7000   1.590431E-02   1.213841E-04   1.403786E+00   1.381827E-02  -3.874270E-04   5.394302E-01
    2.7500   1.597569E-02   1.049100E-04   1.430776E+00  -1.192530E-02  -5.360028E-05   5.401707E-01
    2.8000   1.474778E-02   1.156531E-04   1.457803E+00  -3.553734E-02   2.611199E-04   5.409072E-01
    2.8500   1.261265E-02   1.094541E-04   1.484866E+00  -4.848913E-02  -5.551719E-04   5.416257E-01
    2.9000   9.958721E-03   7.701943E-05   1.511965E+00  -5.732138E-02  -4.832987E-04   5.423325E-01
    2.9500   6.992370E-03   7.165930E-05   1.539099E+00  -5.916315E-02   1.485386E-04   5.430276E-01
    3.0000   4.301002E-03   7.001472E-05   1.566268E+00  -4.632342E-02  -3.602959E-04   5.437202E-01
    3.0500   2.456492E-03   4.306612E-05   1.593471E+00  -2.749061E-02  -4.766060E-04   5.444185E-01
    3.1000   1.552105E-03   3.983892E-05   1.620710E+00  -8.087386E-03   3.282871E-04   5.451181E-01
    3.1500   1.750447E-03   5.725242E-05   1.647983E+00   1.681641E-02   1.571741E-04   5.458120E-01
    3.2000   3.199960E-03   5.216390E-05   1.675291E+00   3.960468E-02  -1.944270E-04   5.464910E-01
    3.2500   5.514442E-03   5.752271E-05   1.702632E+00   5.134400E-02   4.836707E-04   5.471579E-01
    3.3000   8.244620E-03   8.835640E-05   1.730006E+00   5.734335E-02   5.190750E-04   5.478128E-01
    3.3500   1.114419E-02   9.729415E-05   1.757413E+00   5.673671E-02  -8.958092E-05   5.484677E-01
    3.4000   1.368543E-02   9.779351E-05   1.784853E+00   4.287187E-02   2.612516E-04   5.491390E-01
    3.4500   1.532795E-02   1.203577E-04   1.812327E+00   2.274112E-02   4.490027E-04   5.498080E-01
    3.5000   1.597140E-02   1.256335E-04   1.839834E+00   2.767359E-03  -2.614559E-04   5.504673E-01
    3.5500   1.553709E-02   1.084260E-04   1.867374E+00  -2.075819E-02  -2.280302E-04   5.511269E-01
    3.6000   1.392634E-02   1.092430E-04   1.894947E+00  -4.224768E-02   1.443449E-04   5.517831E-01
    3.6500   1.150711E-02   1.052904E-04   1.922552E+00  -5.271340E-02  -4.009099E-04   5.524411E-01
    3.7000   8.768271E-03   7.699210E-05   1.950191E+00  -5.617707E-02  -5.309660E-04   5.531047E-01
    3.7500   5.987838E-03   6.545329E-05   1.977863E+00  -5.335922E-02   4.126485E-05   5.537697E-01
    3.8000   3.645507E-03   6.604490E-05   2.005568E+00  -3.834859E-02  -1.713409E-04   5.544335E-01
    3.8500   2.260280E-03   4.805167E-05   2.033306E+00  -1.695338E-02  -3.957634E-04   5.550991E-01
    3.9000   1.926413E-03   4.256804E-05   2.061078E+00   3.546969E-03   2.265312E-04   5.557606E-01
    3.9500   2.650805E-03   6.003338E-05   2.088882E+00   2.582766E-02   2.898198E-04   5.564160E-01
    4.0000   4.474388E-03   6.336505E-05   2.116719E+00   4.578066E-02  -8.018614E-05   5.570768E-01
    4.0500   7.037131E-03   6.733887E-05   2.144590E+00   5.482150E-02   3.489917E-04   5.577430E-01
    4.1000   9.825641E-03   9.373977E-05   2.172494E+00   5.591793E-02   5.369135E-04   5.584075E-01
    4.1500   1.253377E-02   1.075597E-04   2.200430E+00   5.091834E-02   1.192820E-05   5.590680E-01
    4.2000   1.472596E-02   1.069312E-04   2.228400E+00   3.491428E-02   1.106578E-04   5.597264E-01
    4.2500   1.591791E-02   1.213924E-04   2.256403E+00   1.260826E-02   3.524823E-04   5.603795E-01
    4.3000   1.601777E-02   1.274214E-04   2.284438E+00  -8.329981E-03  -1.815461E-04   5.610306E-01
    4.3500   1.507770E-02   1.106603E-04   2.312506E+00  -2.945009E-02  -3.267096E-04   5.616836E-01
    4.4000   1.311474E-02   1.041472E-04   2.340607E+00  -4.777302E-02   2.533759E-05   5.623357E-01
    4.4500   1.049032E-02   1.002616E-04   2.368740E+00  -5.521176E-02  -2.963003E-04   5.629907E-01
    4.5000   7.739045E-03   7.640834E-05   2.396906E+00  -5.391535E-02  -5.163657E-04   5.636486E-01
    4.5500   5.189299E-03   6.188132E-05   2.425104E+00  -4.680829E-02  -3.437035E-05   5.642981E-01
    4.6000   3.228755E-03   6.335909E-05   2.453335E+00  -2.986833E-02  -5.072215E-05   5.649425E-01
    4.6500   2.305630E-03   5.233176E-05   2.481599E+00  -6.922443E-03  -3.011760E-04   5.655952E-01
    4.7000   2.497507E-03   4.693664E-05   2.509895E+00   1.414585E-02   1.677812E-04   5.662572E-01
    4.7500   3.704251E-03   6.395335E-05   2.538225E+00   3.408712E-02   3.668251E-04   5.669222E-01
    4.8000   5.856599E-03   7.347104E-05   2.566587E+00   5.075391E-02   2.854077E-05   5.675873E-01
    4.8500   8.592884E-03   7.786808E-05   2.594983E+00   5.667117E-02   2.641560E-04   5.682575E-01
    4.9000   1.136705E-02   1.001851E-04   2.623413E+00   5.327078E-02   5.100408E-04   5.689268E-01
    4.9500   1.382853E-02   1.160786E-04   2.651876E+00   4.401213E-02   7.895409E-05   5.695861E-01
    5.0000   1.561727E-02   1.150413E-04   2.680372E+00   2.599901E-02   7.859902E-06   5.702397E-01
    5.0500   1.633203E-02   1.227639E-04   2.708900E+00   2.436114E-03   2.445057E-04   5.708874E-01
    5.1000   1.590523E-02   1.277786E-04   2.737460E+00  -1.886841E-02  -1.336781E-04   5.715235E-01
    5.1500   1.448692E-02   1.118744E-04   2.766052E+00  -3.761206E-02  -3.792932E-04   5.721515E-01
    5.2000   1.220659E-02   9.993544E-05   2.794675E+00  -5.230225E-02  -9.178146E-05   5.727867E-01
    5.2500   9.439189E-03   9.452971E-05   2.823331E+00  -5.639758E-02  -2.275842E-04   5.734307E-01
    5.3000   6.730664E-03   7.531260E-05   2.852018E+00  -5.080484E-02  -4.560618E-04   5.740699E-01
    5.3500   4.450020E-03   5.994965E-05   2.880738E+00  -3.942520E-02  -1.003929E-04   5.747002E-01
    5.4000   2.914624E-03   6.085936E-05   2.909488E+00  -2.066270E-02   2.775447E-05   5.753195E-01
    5.4500   2.467847E-03   5.650801E-05   2.938270E+00   2.911469E-03  -1.693434E-04   5.759396E-01
    5.5000   3.156032E-03   5.344989E-05   2.967082E+00   2.383190E-02   1.333880E-04   5.765580E-01
    5.5500   4.790079E-03   6.882100E-05   2.995925E+00   4.108857E-02   3.805475E-04   5.771772E-01
    5.6000   7.193854E-03   8.221445E-05   3.024800E+00   5.382271E-02   1.353832E-04   5.778061E-01
    5.6500   9.997174E-03   8.875098E-05   3.053706E+00   5.633638E-02   2.205081E-04   5.784375E-01
    5.7000   1.266394E-02   1.066539E-04   3.082644E+00   4.919334E-02   4.261130E-04   5.790758E-01
    5.7500   1.482451E-02   1.217041E-04   3.111614E+00   3.626081E-02   1.198978E-04   5.797154E-01
    5.8000   1.617823E-02   1.215912E-04   3.140615E+00   1.677137E-02  -3.540906E-05   5.803510E-01
    5.8500   1.643362E-02   1.239457E-04   3.169649E+00  -6.576331E-03   1.114573E-04   5.809964E-01
    5.9000   1.557275E-02   1.254413E-04   3.198715E+00  -2.705835E-02  -1.237284E-04   5.816439E-01
    5.9500   1.380377E-02   1.115029E-04   3.227813E+00  -4.302025E-02  -3.602169E-04   5.822872E-01
    6.0000   1.135513E-02   9.739168E-05   3.256944E+00  -5.370396E-02  -1.736425E-04   5.829238E-01
    6.0500   8.598044E-03   9.003353E-05   3.286105E+00  -5.472417E-02  -1.969861E-04   5.835449E-01
    6.1000   6.044736E-03   7.472905E-05   3.315298E+00  -4.619374E-02  -3.712620E-04   5.841510E-01
