Time	RotTorq	YawBrFxp	YawBrFyp
0.0	-11870.0	13780.0	-762.9
0.05	2387000.0	10740.0	80460.0
0.1	3292000.0	2115.0	61220.0
0.15	4324000.0	-5919.0	40020.0
0.2	5014000.0	-3213.0	26350.0
0.25	5060000.0	14030.0	25480.0
0.3	4463000.0	38810.0	36390.0
0.35	3530000.0	61030.0	52630.0
0.4	2703000.0	70820.0	64590.0
0.45	2348000.0	68590.0	64459.99999999999
0.5	2614000.0	62710.0	51170.0
0.55	3367000.0	66010.0	30490.0
0.6	4241000.0	85340.0	10250.0
0.65	4818000.0	117500.0	-3934.0
0.7	4805000.0	153500.0	-10840.0
0.75	4171000.0	176600.0	-12400.0
0.8	3178000.0	178300.0	-11460.0
0.85	2249000.0	166600.0	-10740.0
0.9	1776000.0	159600.0	-12900.0
0.95	1937000.0	172600.0	-20410.0
1.0	2619000.0	207000.0	-34430.0
1.05	3475000.0	249500.0	-53060.0
1.1	4083000.0	282900.0	-71070.0
1.15	4137000.0	298400.0	-81760.0
1.2	3589000.0	300600.0	-80680.0
1.25	2698000.0	302800.0	-67890.0
1.3	1838000.0	316400.0	-51840.0
1.35	1394000.0	343700.0	-42250.0
1.4	1561000.0	374200.0	-45390.0
1.45	2249000.0	394700.0	-60710.0
1.5	3130000.0	399200.0	-80670.0
1.55	3795000.0	392800.0	-94800.0
1.6	3940000.0	387100.0	-95810.0
1.65	3497000.0	390300.0	-83610.0
1.7	2666000.0	401400.0	-64560.0
1.75	1825000.0	411200.0	-47460.0
1.8	1348000.0	410200.0	-38630.0
1.85	1441000.0	396000.0	-38970.0
1.9	2047000.0	373700.0	-44390.0
1.95	2877000.0	352800.0	-48980.0
2.0	3546000.0	340100.0	-48320.0
2.05	3746000.0	333700.0	-41050.0
2.1	3389000.0	326500.0	-28390.0
2.15	2641000.0	310800.0	-12930.0
2.2	1838000.0	285300.0	2348.0
2.25	1341000.0	256300.0	14720.0
2.3	1363000.0	232600.0	21770.0
2.35	1883000.0	218600.0	22260.0
2.4	2651000.0	210600.0	17330.0
2.45	3309000.0	200600.0	11140.0
2.5	3554000.0	182900.0	9512.0
2.55	3274000.0	159200.0	16780.0
2.6	2595000.0	136500.0	33000.0
2.65	1824000.0	121800.0	53310.0
2.7	1306000.0	115400.0	69990.0
2.75	1268000.0	111300.0	76800.0
2.8	1712000.0	101400.0	72410.0
2.85	2425000.0	82700.0	61450.0
2.9	3075000.0	59900.0	51590.0
2.95	3364000.0	40730.0	49040.0
3.0	3159000.0	30880.0	55170.0
3.05	2554000.0	30800.0	66330.0
3.1	1821000.0	34990.0	76200.0
3.15	1289000.0	36540.0	79450.0
3.2	1190000.0	32860.0	74370.0
3.25	1559000.0	27270.0	63130.0
3.3	2218000.0	25580.0	49870.0
3.35	2862000.0	31580.0	38490.0
3.4	3193000.0	44790.0	31330.0
3.45	3062000.0	60920.0	28980.0
3.5	2532000.0	75210.0	30630.0
3.55	1844000.0	85960.0	34150.0
3.6	1308000.0	95750.0	36460.0
3.65	1160000.0	108300.0	34290.0
3.7	1457000.0	125200.0	25450.0
3.75	2055000.0	144800.0	10310.0
3.8	2674000.0	163600.0	-7742.0
3.85	3029000.0	178200.0	-23420.0
3.9	2958000.0	188700.0	-32110.0
3.95	2494000.0	199000.0	-32619.999999999996
4.0	1846000.0	212900.0	-28110.0
4.05	1305000.0	231400.0	-24450.0
4.1	1110000.0	251900.0	-27030.0
4.15	1339000.0	269500.0	-37500.0
4.2	1881000.0	280600.0	-52870.0
4.25	2483000.0	285700.0	-67300.0
4.3	2869000.0	289000.0	-75410.0
4.35	2864000.0	295800.0	-75160.0
4.4	2474000.0	308100.0	-68570.0
4.45	1878000.0	323200.0	-60250.0
4.5	1346000.0	335100.0	-54800.0
4.55	1114000.0	339600.0	-54550.0
4.6	1279000.0	337400.0	-59170.0
4.65	1757000.0	333200.0	-66260.0
4.7	2323000.0	330900.0	-72830.0
4.75	2716000.0	331200.0	-76320.0
4.8	2756000.0	331400.0	-75140.0
4.85	2424000.0	328400.0	-68980.0
4.9	1871000.0	320900.0	-58760.0
4.95	1347000.0	309900.0	-46800.0
5.0	1084000.0	298400.0	-36290.0
5.05	1193000.0	287900.0	-29940.0
5.1	1615000.0	278100.0	-28480.0
5.15	2152000.0	266900.0	-29960.0
5.2	2557000.0	252400.0	-30380.0
5.25	2645000.0	234600.0	-25820.0
5.3	2380000.0	215800.0	-14730.0
5.35	1884000.0	199300.0	961.2
5.4	1381000.0	186500.0	16570.0
5.45	1096000.0	176100.0	27390.0
5.5	1152000.0	165300.0	31090.0
5.55	1514000.0	152900.0	28890.0
5.6	2009000.0	139200.0	24840.0
5.65	2409000.0	125700.0	23660.0
5.7	2530000.0	114400.0	28120.0
5.75	2319000.0	106300.0	37890.0
5.8	1871000.0	100800.0	50050.0
5.85	1387000.0	96300.0	60910.0
5.9	1084000.0	91520.0	67790.0
5.95	1093000.0	85730.0	69910.0
6.0	1402000.0	79480.0	68120.0
6.05	1864000.0	74540.0	64230.00000000001
6.1	2265000.0	72140.0	60240.0
6.15	2421000.0	71830.0	57760.0
6.2	2260000.0	72220.0	57770.0
6.25	1857000.0	72000.0	60160.0
6.3	1394000.0	71680.0	63440.0
6.35	1078000.0	73370.0	65120.00000000001
6.4	1044000.0	78880.0	62580.0
6.45	1299000.0	88090.0	54730.0
6.5	1716000.0	99230.0	42900.0
6.55	2099000.0	110500.0	30490.0
6.6	2267000.0	121100.0	21460.0
6.65	2145000.0	131500.0	18020.0
6.7	1785000.0	143000.0	19310.0
6.75	1349000.0	156500.0	21820.0
6.8	1030000.0	171800.0	21340.0
6.85	965800.0	187200.0	15240.0
6.9	1176000.0	200700.0	3778.0
6.95	1555000.0	211500.0	-10210.0
