Time	Wind1VelX
0.0	5.39
0.05	5.405
0.1	5.386
0.15	5.368
0.2	5.366
0.25	5.423
0.3	5.456
0.35	5.449
0.4	5.447
0.45	5.445
0.5	5.428
0.55	5.426
0.6	5.381
0.65	5.422
0.7	5.429
0.75	5.48
0.8	5.447
0.85	5.395
0.9	5.417
0.95	5.461
1.0	5.435
1.05	5.427
1.1	5.336
1.15	5.377
1.2	5.428
1.25	5.444
1.3	5.418
1.35	5.411
1.4	5.396
1.45	5.372
1.5	5.293
1.55	5.298
1.6	5.341
1.65	5.361
1.7	5.35
1.75	5.311
1.8	5.28
1.85	5.369
1.9	5.4
1.95	5.444
2.0	5.439
2.05	5.394
2.1	5.341
2.15	5.355
2.2	5.436
2.25	5.451
2.3	5.467
2.35	5.458
2.4	5.443
2.45	5.421
2.5	5.34
2.55	5.398
2.6	5.485
2.65	5.453
2.7	5.506
2.75	5.546
2.8	5.482
2.85	5.418
2.9	5.404
2.95	5.349
3.0	5.396
3.05	5.393
3.1	5.411
3.15	5.363
3.2	5.322
3.25	5.291
3.3	5.249
3.35	5.298
3.4	5.365
3.45	5.289
3.5	5.307
3.55	5.299
3.6	5.29
3.65	5.318
3.7	5.334
3.75	5.333
3.8	5.334
3.85	5.351
3.9	5.314
3.95	5.317
4.0	5.357
4.05	5.359
4.1	5.353
4.15	5.339
4.2	5.346
4.25	5.31
4.3	5.34
4.35	5.329
4.4	5.34
4.45	5.356
4.5	5.366
4.55	5.306
4.6	5.339
4.65	5.368
4.7	5.409
4.75	5.394
4.8	5.417
4.85	5.435
4.9	5.42
4.95	5.373
5.0	5.389
5.05	5.339
5.1	5.317
5.15	5.289
5.2	5.375
5.25	5.355
5.3	5.349
5.35	5.3
5.4	5.28
5.45	5.312
5.5	5.274
5.55	5.324
5.6	5.349
5.65	5.346
5.7	5.405
5.75	5.36
5.8	5.385
5.85	5.434
5.9	5.406
5.95	5.412
6.0	5.367
6.05	5.311
6.1	5.267
6.15	5.324
6.2	5.347
6.25	5.398
6.3	5.341
6.35	5.359
6.4	5.392
6.45	5.393
6.5	5.447
6.55	5.391
6.6	5.345
6.65	5.391
6.7	5.402
6.75	5.416
6.8	5.395
6.85	5.37
6.9	5.372
6.95	5.339
7.0	5.385
7.05	5.427
7.1	5.391
7.15	5.406
7.2	5.441
7.25	5.446
7.3	5.349
7.35	5.351
7.4	5.364
7.45	5.347
7.5	5.313
7.55	5.355
7.6	5.39
7.65	5.369
7.7	5.356
7.75	5.406
7.8	5.399
7.85	5.359
7.9	5.406
7.95	5.451
8.0	5.431
8.05	5.476
8.1	5.517
8.15	5.509
8.2	5.483
8.25	5.445
8.3	5.449
8.35	5.462
8.4	5.49
8.45	5.491
8.5	5.519
8.55	5.518
8.6	5.464
8.65	5.47
8.7	5.455
8.75	5.424
8.8	5.423
8.85	5.441
8.9	5.408
8.95	5.489
9.0	5.5
9.05	5.53
9.1	5.517
9.15	5.495
9.2	5.491
9.25	5.534
9.3	5.567
9.35	5.536
9.4	5.522
9.45	5.541
9.5	5.568
9.55	5.603
9.6	5.558
9.65	5.528
9.7	5.48
9.75	5.455
9.8	5.398
9.85	5.471
9.9	5.522
9.95	5.465
10.0	5.485
10.05	5.467
10.1	5.436
10.15	5.438
10.2	5.528
10.25	5.498
10.3	5.477
10.35	5.52
10.4	5.473
10.45	5.467
10.5	5.373
10.55	5.324
10.6	5.371
10.65	5.367
10.7	5.49
10.75	5.516
10.8	5.542
10.85	5.573
10.9	5.561
10.95	5.517
11.0	5.538
11.05	5.51
11.1	5.515
11.15	5.551
11.2	5.54
11.25	5.507
11.3	5.492
11.35	5.536
11.4	5.554
11.45	5.585
11.5	5.61
11.55	5.578
11.6	5.589
11.65	5.645
11.7	5.685
11.75	5.598
11.8	5.643
11.85	5.677
11.9	5.729
11.95	5.686
12.0	5.712
12.05	5.701
12.1	5.686
12.15	5.678
12.2	5.698
12.25	5.727
12.3	5.691
12.35	5.652
12.4	5.688
12.45	5.684
12.5	5.713
12.55	5.675
12.6	5.674
12.65	5.756
12.7	5.696
12.75	5.669
12.8	5.647
12.85	5.661
12.9	5.632
12.95	5.688
13.0	5.701
13.05	5.712
13.1	5.738
13.15	5.751
13.2	5.801
13.25	5.865
13.3	5.821
13.35	5.867
13.4	5.861
13.45	5.862
13.5	5.898
13.55	5.936
13.6	5.992
13.65	5.931
13.7	5.941
13.75	6.012
13.8	5.953
13.85	5.957
13.9	5.953
13.95	5.989
14.0	5.991
14.05	6.059
14.1	6.001
14.15	6.001
14.2	6.034
14.25	5.99
14.3	5.942
14.35	5.944
14.4	5.932
14.45	5.869
14.5	5.905
14.55	5.938
14.6	5.967
14.65	5.934
14.7	5.9
14.75	5.889
14.8	5.835
14.85	5.77
14.9	5.774
14.95	5.8
15.0	5.755
15.05	5.679
15.1	5.764
15.15	5.797
15.2	5.853
15.25	5.844
15.3	5.899
15.35	5.877
15.4	5.846
15.45	5.782
15.5	5.778
15.55	5.667
15.6	5.669
15.65	5.692
15.7	5.662
15.75	5.681
15.8	5.704
15.85	5.713
15.9	5.724
15.95	5.719
16.0	5.725
16.05	5.719
16.1	5.711
16.15	5.684
16.2	5.703
16.25	5.675
16.3	5.711
16.35	5.731
16.4	5.69
16.45	5.735
16.5	5.706
16.55	5.673
16.6	5.66
16.65	5.609
16.7	5.626
16.75	5.624
16.8	5.59
16.85	5.574
16.9	5.637
16.95	5.598
17.0	5.657
17.05	5.614
17.1	5.644
17.15	5.663
17.2	5.709
17.25	5.667
17.3	5.707
17.35	5.666
17.4	5.688
17.45	5.652
17.5	5.648
17.55	5.653
17.6	5.633
17.65	5.647
17.7	5.712
17.75	5.756
17.8	5.731
17.85	5.762
17.9	5.77
17.95	5.733
18.0	5.829
18.05	5.806
18.1	5.813
18.15	5.794
18.2	5.814
18.25	5.751
18.3	5.739
18.35	5.774
18.4	5.745
18.45	5.737
18.5	5.792
18.55	5.778
18.6	5.829
18.65	5.825
18.7	5.792
18.75	5.73
18.8	5.738
18.85	5.735
18.9	5.734
18.95	5.768
19.0	5.809
19.05	5.857
19.1	5.911
19.15	5.856
19.2	5.867
19.25	5.882
19.3	5.826
19.35	5.786
19.4	5.766
19.45	5.726
19.5	5.725
19.55	5.763
19.6	5.758
19.65	5.739
19.7	5.721
19.75	5.689
19.8	5.701
19.85	5.719
19.9	5.768
19.95	5.798
20.0	5.815
20.05	5.806
20.1	5.801
20.15	5.786
20.2	5.749
20.25	5.728
20.3	5.788
20.35	5.749
20.4	5.711
20.45	5.699
20.5	5.674
20.55	5.707
20.6	5.724
20.65	5.731
20.7	5.722
20.75	5.704
20.8	5.661
20.85	5.639
20.9	5.648
20.95	5.614
21.0	5.601
21.05	5.601
21.1	5.51
21.15	5.474
21.2	5.455
21.25	5.491
21.3	5.444
21.35	5.407
21.4	5.437
21.45	5.456
21.5	5.493
21.55	5.485
21.6	5.559
21.65	5.553
21.7	5.553
21.75	5.636
21.8	5.578
21.85	5.575
21.9	5.61
21.95	5.63
22.0	5.58
22.05	5.579
22.1	5.579
22.15	5.539
22.2	5.581
22.25	5.653
22.3	5.672
22.35	5.657
22.4	5.644
22.45	5.608
22.5	5.648
22.55	5.703
22.6	5.638
22.65	5.578
22.7	5.557
22.75	5.614
22.8	5.621
22.85	5.639
22.9	5.598
22.95	5.604
23.0	5.554
23.05	5.559
23.1	5.582
23.15	5.538
23.2	5.554
23.25	5.523
23.3	5.496
23.35	5.507
23.4	5.562
23.45	5.571
23.5	5.54
23.55	5.493
23.6	5.504
23.65	5.503
23.7	5.465
23.75	5.533
23.8	5.559
23.85	5.53
23.9	5.501
23.95	5.473
24.0	5.544
24.05	5.598
24.1	5.584
24.15	5.578
24.2	5.605
24.25	5.615
24.3	5.64
24.35	5.668
24.4	5.723
24.45	5.693
24.5	5.653
24.55	5.612
24.6	5.588
24.65	5.59
24.7	5.643
24.75	5.651
24.8	5.644
24.85	5.604
24.9	5.641
24.95	5.632
25.0	5.607
25.05	5.612
25.1	5.625
25.15	5.574
25.2	5.554
25.25	5.519
25.3	5.519
25.35	5.485
25.4	5.507
25.45	5.548
25.5	5.482
25.55	5.522
25.6	5.557
25.65	5.522
25.7	5.56
25.75	5.551
25.8	5.492
25.85	5.455
25.9	5.508
25.95	5.494
26.0	5.436
26.05	5.433
26.1	5.437
26.15	5.478
26.2	5.525
26.25	5.554
26.3	5.598
26.35	5.563
26.4	5.591
26.45	5.574
26.5	5.559
26.55	5.591
26.6	5.592
26.65	5.594
26.7	5.64
26.75	5.617
26.8	5.582
26.85	5.624
26.9	5.618
26.95	5.629
27.0	5.594
27.05	5.639
27.1	5.683
27.15	5.656
27.2	5.596
27.25	5.628
27.3	5.611
27.35	5.579
27.4	5.631
27.45	5.594
27.5	5.702
27.55	5.648
27.6	5.664
27.65	5.655
27.7	5.635
27.75	5.574
27.8	5.563
27.85	5.509
27.9	5.59
27.95	5.606
28.0	5.539
28.05	5.521
28.1	5.527
28.15	5.486
28.2	5.47
28.25	5.462
28.3	5.518
28.35	5.548
28.4	5.512
28.45	5.507
28.5	5.563
28.55	5.581
28.6	5.532
28.65	5.522
28.7	5.546
28.75	5.63
28.8	5.64
28.85	5.629
28.9	5.632
28.95	5.679
29.0	5.697
29.05	5.666
29.1	5.683
29.15	5.673
29.2	5.637
29.25	5.641
29.3	5.602
29.35	5.574
29.4	5.574
29.45	5.554
29.5	5.523
29.55	5.521
29.6	5.557
29.65	5.513
29.7	5.555
29.75	5.586
29.8	5.554
29.85	5.555
29.9	5.545
29.95	5.55
30.0	5.466
30.05	5.486
30.1	5.489
30.15	5.437
30.2	5.457
30.25	5.449
30.3	5.438
30.35	5.418
30.4	5.401
