time	WindVelX
0.0	13.421
1.0	13.426
2.0	12.138
3.0	11.313
4.0	10.812
5.0	11.558
6.0	11.115
7.0	10.026
8.0	11.586
9.0	10.575
10.0	10.553
11.0	9.426
12.0	9.718
13.0	9.925
14.0	9.398
15.0	8.568
16.0	8.688
17.0	8.937
18.0	9.066
19.0	9.97
20.0	10.59
21.0	10.569
22.0	10.982
23.0	12.131
24.0	13.839
25.0	12.615
26.0	11.931
27.0	12.574
28.0	11.695
29.0	10.304
30.0	10.251
31.0	10.321
32.0	11.229
33.0	10.845
34.0	9.839
35.0	10.839
36.0	12.813
37.0	10.761
38.0	11.177
39.0	11.301
40.0	11.849
41.0	12.071
42.0	11.853
43.0	12.068
44.0	12.496
45.0	12.048
46.0	13.165
47.0	12.4
48.0	11.793
49.0	12.291
50.0	11.785
51.0	10.747
52.0	9.351
53.0	8.791
54.0	10.674
55.0	11.817
56.0	11.024
57.0	10.153
58.0	9.121
59.0	9.506
60.0	10.069
61.0	10.701
62.0	11.552
63.0	10.529
64.0	12.179
65.0	10.979
66.0	11.004
67.0	9.76
68.0	9.379
69.0	9.887
70.0	9.235
71.0	8.004
72.0	9.257
73.0	9.231
74.0	7.926
75.0	8.195
76.0	8.976
77.0	7.295
78.0	8.523
79.0	9.588
80.0	9.966
81.0	9.429
82.0	8.662
83.0	8.014
84.0	8.898
85.0	9.617
86.0	10.254
87.0	10.281
88.0	11.093
89.0	11.554
90.0	10.393
91.0	10.168
92.0	8.603
93.0	10.762
94.0	11.936
95.0	13.381
96.0	13.385
97.0	12.238
98.0	13.454
99.0	13.304
100.0	13.402
101.0	12.199
102.0	10.682
103.0	9.785
104.0	8.721
105.0	9.832
106.0	11.966
107.0	11.376
108.0	11.308
109.0	10.871
110.0	11.459
111.0	12.925
112.0	12.725
113.0	12.72
114.0	12.345
115.0	12.484
116.0	13.431
117.0	13.892
118.0	14.961
119.0	14.367
120.0	15.498
121.0	13.844
122.0	13.542
123.0	14.206
124.0	13.238
125.0	12.246
126.0	13.198
127.0	13.105
128.0	13.937
129.0	13.472
130.0	13.565
131.0	13.379
132.0	14.086
133.0	13.766
134.0	13.32
135.0	13.831
136.0	14.659
137.0	13.22
138.0	11.336
139.0	11.603
140.0	11.91
141.0	11.689
142.0	10.321
143.0	10.182
144.0	10.674
145.0	10.058
146.0	9.178
147.0	7.943
148.0	8.381
149.0	10.371
150.0	10.229
151.0	8.124
152.0	7.427
153.0	7.799
154.0	8.916
155.0	9.54
156.0	9.123
157.0	10.335
158.0	10.13
159.0	9.369
160.0	9.861
161.0	10.145
162.0	11.028
163.0	11.583
164.0	12.162
165.0	12.263
166.0	12.641
167.0	11.972
168.0	11.702
169.0	11.319
170.0	12.244
171.0	11.446
172.0	10.31
173.0	10.448
174.0	9.064
175.0	10.512
176.0	10.338
177.0	11.253
178.0	11.879
179.0	10.699
180.0	9.18
181.0	10.167
182.0	11.18
183.0	11.533
184.0	11.041
185.0	10.666
186.0	10.454
187.0	10.607
188.0	11.192
189.0	12.159
190.0	12.226
191.0	11.107
192.0	11.368
193.0	12.11
194.0	12.164
195.0	12.817
196.0	13.299
197.0	14.018
198.0	14.777
199.0	14.637
200.0	14.366
201.0	12.419
202.0	12.468
203.0	13.963
204.0	13.076
205.0	13.793
206.0	13.965
207.0	14.039
208.0	12.728
209.0	13.249
210.0	13.063
211.0	12.184
212.0	12.544
213.0	12.993
214.0	13.26
215.0	12.911
216.0	13.695
217.0	14.088
218.0	14.191
219.0	14.89
220.0	13.759
221.0	13.814
222.0	13.742
223.0	12.985
224.0	13.273
225.0	13.449
226.0	12.643
227.0	13.795
228.0	13.236
229.0	13.904
230.0	12.578
231.0	12.418
232.0	12.657
233.0	11.736
234.0	11.722
235.0	12.306
236.0	11.847
237.0	10.762
238.0	10.993
239.0	11.003
240.0	11.348
241.0	10.516
242.0	9.885
243.0	9.801
244.0	8.751
245.0	8.949
246.0	10.572
247.0	9.359
248.0	10.074
249.0	10.357
250.0	11.171
251.0	10.564
252.0	9.766
253.0	9.864
254.0	9.777
255.0	9.078
256.0	9.755
257.0	9.917
258.0	9.738
259.0	10.759
260.0	11.791
261.0	12.567
262.0	12.534
263.0	11.849
264.0	12.226
265.0	12.848
266.0	13.336
267.0	12.9
268.0	13.542
269.0	13.69
270.0	12.122
271.0	11.054
272.0	11.158
273.0	12.155
274.0	10.907
275.0	12.953
276.0	12.073
277.0	12.22
278.0	11.988
279.0	12.629
280.0	12.775
281.0	13.589
282.0	11.788
283.0	10.768
284.0	12.378
285.0	12.285
286.0	11.119
287.0	11.787
288.0	11.464
289.0	11.591
290.0	11.09
291.0	10.955
292.0	9.064
293.0	8.312
294.0	8.212
295.0	7.389
296.0	7.957
297.0	7.813
298.0	7.975
299.0	7.915
300.0	8.587
301.0	8.724
302.0	9.078
303.0	10.773
304.0	11.358
305.0	12.121
306.0	13.098
307.0	11.944
308.0	11.719
309.0	13.079
310.0	12.817
311.0	12.768
312.0	14.62
313.0	14.978
314.0	13.364
315.0	13.644
316.0	12.797
317.0	11.936
318.0	11.924
319.0	11.759
320.0	11.556
321.0	12.461
322.0	13.518
323.0	11.058
324.0	10.643
325.0	10.269
326.0	12.049
327.0	11.661
328.0	11.519
329.0	11.818
330.0	12.31
331.0	12.327
332.0	12.002
333.0	9.953
334.0	9.201
335.0	10.762
336.0	11.573
337.0	11.025
338.0	12.062
339.0	10.724
340.0	8.951
341.0	9.146
342.0	9.193
343.0	9.202
344.0	9.464
345.0	9.173
346.0	10.728
347.0	10.267
348.0	10.738
349.0	12.494
350.0	11.972
351.0	11.678
352.0	9.628
353.0	9.164
354.0	8.523
355.0	7.29
356.0	6.466
357.0	5.971
358.0	7.448
359.0	7.299
360.0	7.228
361.0	8.655
362.0	8.156
363.0	10.263
364.0	11.367
365.0	11.55
366.0	11.057
367.0	11.267
368.0	10.284
369.0	10.217
370.0	9.895
371.0	8.255
372.0	9.404
373.0	8.32
374.0	9.592
375.0	8.241
376.0	8.469
377.0	9.004
378.0	8.718
379.0	9.182
380.0	9.138
381.0	8.994
382.0	8.092
383.0	7.787
384.0	7.44
385.0	6.986
386.0	7.282
387.0	6.385
388.0	7.045
389.0	9.332
390.0	10.169
391.0	9.834
392.0	6.92
393.0	7.568
394.0	6.822
395.0	8.5
396.0	8.883
397.0	7.491
398.0	7.304
399.0	6.941
400.0	7.032
401.0	7.292
402.0	7.275
403.0	6.822
404.0	7.801
405.0	6.47
406.0	7.042
407.0	7.394
408.0	5.806
409.0	6.072
410.0	7.028
411.0	6.559
412.0	5.44
413.0	5.633
414.0	6.342
415.0	5.916
416.0	6.467
417.0	8.336
418.0	6.482
419.0	6.895
420.0	4.457
421.0	4.034
422.0	5.083
423.0	5.945
424.0	8.16
425.0	8.939
426.0	8.55
427.0	8.985
428.0	8.359
429.0	7.955
430.0	7.506
431.0	8.396
432.0	8.151
433.0	8.632
434.0	9.486
435.0	8.715
436.0	8.778
437.0	10.793
438.0	10.52
439.0	10.373
440.0	10.401
441.0	11.791
442.0	12.846
443.0	12.007
444.0	11.695
445.0	10.752
446.0	10.49
447.0	10.224
448.0	9.044
449.0	7.732
450.0	8.828
451.0	8.795
452.0	8.998
453.0	9.7
454.0	10.495
455.0	9.739
456.0	10.318
457.0	10.73
458.0	9.412
459.0	8.527
460.0	9.13
461.0	9.769
462.0	10.12
463.0	11.345
464.0	11.62
465.0	10.827
466.0	11.38
467.0	11.904
468.0	13.099
469.0	11.465
470.0	11.671
471.0	12.226
472.0	13.767
473.0	12.636
474.0	12.081
475.0	11.877
476.0	10.396
477.0	9.951
478.0	10.768
479.0	9.438
480.0	9.81
481.0	9.903
482.0	10.689
483.0	11.408
484.0	11.88
485.0	12.198
486.0	11.974
487.0	10.741
488.0	9.98
489.0	11.04
490.0	11.586
491.0	11.805
492.0	12.126
493.0	10.38
494.0	9.511
495.0	10.403
496.0	12.243
497.0	13.843
498.0	13.18
499.0	13.054
500.0	13.349
501.0	12.8
502.0	12.884
503.0	12.886
504.0	11.892
505.0	11.768
506.0	12.19
507.0	12.723
508.0	13.533
509.0	13.791
510.0	13.921
511.0	14.127
512.0	13.378
513.0	11.815
514.0	11.891
515.0	11.923
516.0	12.871
517.0	12.718
518.0	12.41
519.0	13.328
520.0	14.314
521.0	13.247
522.0	12.256
523.0	12.411
524.0	10.548
525.0	10.382
526.0	11.171
527.0	9.688
528.0	9.611
529.0	9.235
530.0	8.268
531.0	9.408
532.0	8.827
533.0	9.547
534.0	9.117
535.0	8.295
536.0	8.452
537.0	8.99
538.0	8.235
539.0	9.059
540.0	9.087
541.0	10.266
542.0	9.699
543.0	9.747
544.0	9.563
545.0	8.505
546.0	7.619
547.0	8.066
548.0	9.996
549.0	10.667
550.0	10.593
551.0	10.828
552.0	12.646
553.0	10.806
554.0	10.752
555.0	10.852
556.0	10.468
557.0	10.306
558.0	9.565
559.0	9.15
560.0	7.198
561.0	9.365
562.0	9.32
563.0	8.187
564.0	9.157
565.0	10.373
566.0	10.65
567.0	9.723
568.0	10.69
569.0	11.021
570.0	11.539
571.0	9.804
572.0	10.284
573.0	10.378
574.0	11.226
575.0	11.263
576.0	11.064
577.0	10.028
578.0	9.694
579.0	9.726
580.0	9.647
581.0	10.352
582.0	9.907
583.0	10.136
584.0	8.699
585.0	9.086
586.0	8.34
587.0	8.269
588.0	9.528
589.0	10.086
590.0	9.571
591.0	9.601
592.0	9.332
593.0	10.469
594.0	10.32
595.0	8.427
596.0	8.32
597.0	10.884
598.0	10.155
599.0	11.127
600.0	12.352
601.0	12.709
602.0	11.883
603.0	12.687
604.0	12.49
605.0	11.264
606.0	9.928
607.0	10.606
608.0	11.159
609.0	12.941
610.0	15.231
611.0	13.712
612.0	13.278
613.0	12.755
614.0	13.055
615.0	12.501
616.0	12.232
617.0	12.235
618.0	12.138
619.0	11.477
620.0	11.385
621.0	11.698
622.0	10.76
623.0	10.945
624.0	9.55
625.0	10.364
626.0	9.603
627.0	10.373
628.0	9.308
629.0	9.888
630.0	10.325
631.0	10.767
632.0	9.159
633.0	8.769
634.0	9.07
635.0	9.293
636.0	8.329
637.0	9.828
638.0	9.626
639.0	9.852
640.0	9.178
641.0	8.648
642.0	9.053
643.0	10.329
644.0	10.641
645.0	10.905
646.0	12.262
647.0	10.846
648.0	10.112
649.0	9.017
650.0	9.004
651.0	10.863
652.0	11.347
653.0	10.895
654.0	11.098
655.0	10.985
656.0	13.335
657.0	12.972
658.0	13.584
659.0	13.467
660.0	11.783
661.0	10.607
662.0	10.717
663.0	9.78
664.0	10.429
665.0	11.012
666.0	11.543
667.0	10.648
668.0	9.639
669.0	11.897
670.0	12.54
671.0	11.422
672.0	11.85
673.0	11.629
674.0	11.941
675.0	11.922
676.0	12.005
677.0	11.98
678.0	12.87
679.0	11.788
680.0	9.704
681.0	9.68
682.0	10.492
683.0	11.67
684.0	10.206
685.0	10.195
686.0	9.047
687.0	9.317
688.0	8.884
689.0	9.36
690.0	10.775
691.0	9.548
692.0	8.83
693.0	9.791
694.0	10.379
695.0	8.371
696.0	8.622
697.0	11.207
698.0	11.403
699.0	10.882
700.0	11.051
701.0	10.165
702.0	11.304
703.0	12.186
704.0	11.145
705.0	11.741
706.0	11.452
707.0	10.828
708.0	10.967
709.0	10.93
710.0	11.538
711.0	11.69
712.0	12.13
713.0	12.684
714.0	11.458
715.0	11.421
716.0	11.186
717.0	9.813
718.0	7.647
719.0	9.148
720.0	10.205
721.0	9.958
722.0	11.435
723.0	12.196
724.0	12.368
725.0	9.968
726.0	8.784
727.0	10.713
728.0	12.081
729.0	10.969
730.0	11.038
731.0	10.39
732.0	10.189
733.0	10.354
734.0	11.04
735.0	9.339
736.0	8.621
737.0	9.297
738.0	11.381
739.0	11.29
740.0	10.248
741.0	10.836
742.0	11.494
743.0	12.479
744.0	13.352
745.0	13.567
746.0	12.998
747.0	11.931
748.0	13.065
749.0	12.738
750.0	12.02
751.0	11.916
752.0	11.359
753.0	12.791
754.0	13.93
755.0	16.015
756.0	14.924
757.0	14.886
758.0	16.258
759.0	15.67
760.0	14.186
761.0	15.245
762.0	14.821
763.0	14.2
764.0	13.405
765.0	14.037
766.0	14.494
767.0	15.157
768.0	17.326
769.0	16.241
770.0	15.458
771.0	14.822
772.0	14.174
773.0	13.161
774.0	14.385
775.0	13.256
776.0	14.467
777.0	16.121
778.0	15.712
779.0	14.099
780.0	13.886
781.0	14.438
782.0	15.661
783.0	15.304
784.0	15.554
785.0	16.309
786.0	15.513
787.0	15.799
788.0	13.596
789.0	14.128
790.0	14.462
791.0	14.914
792.0	15.755
793.0	14.41
794.0	14.669
795.0	14.344
796.0	13.474
797.0	11.824
798.0	12.726
799.0	12.497
800.0	13.146
801.0	12.419
802.0	12.053
803.0	10.207
804.0	9.475
805.0	9.549
806.0	9.794
807.0	11.452
808.0	12.275
809.0	10.992
810.0	10.713
811.0	10.47
812.0	9.068
813.0	9.254
814.0	10.827
815.0	11.469
816.0	11.225
817.0	12.548
818.0	13.167
819.0	13.173
820.0	14.798
821.0	14.869
822.0	14.647
823.0	12.958
824.0	11.388
825.0	13.015
826.0	13.779
827.0	14.198
828.0	14.777
829.0	14.853
830.0	14.326
831.0	13.369
832.0	13.033
833.0	12.537
834.0	11.033
835.0	11.524
836.0	10.874
837.0	10.658
838.0	10.706
839.0	10.172
840.0	10.607
841.0	10.207
842.0	11.432
843.0	12.271
844.0	12.311
845.0	14.067
846.0	14.436
847.0	15.07
848.0	15.605
849.0	16.748
850.0	16.104
851.0	16.89
852.0	16.742
853.0	15.462
854.0	15.641
855.0	17.289
856.0	17.431
857.0	18.893
858.0	18.743
859.0	18.882
860.0	17.621
861.0	16.873
862.0	16.869
863.0	14.349
864.0	15.15
865.0	15.574
866.0	15.531
867.0	14.709
868.0	13.155
869.0	12.813
870.0	14.034
871.0	15.164
